name,district,address,lat,lng,returnSlots
국제루터교회 앞,용산구,서울특별시 용산구 한남대로 148,37.54143906,127.0037613,10
한남 준 JFSS 앞,용산구,서울특별시 용산구 이태원로 255,37.53749847,127.0008469,8
서울갤러리아 앞,용산구,서울특별시 용산구 이태원로 239,37.53599548,126.9994888,7
크라운호텔앞 버스정류소,용산구,서울특별시 용산구 녹사평대로 140,37.53030014,126.9913788,7
신용산지하차도 앞,용산구,서울특별시 용산구 한강로3가 6,37.53248215,126.964119,15
동원베네스트 건너편,용산구,서울특별시 용산구 한강로3가 37-2,37.52761078,126.9551163,6
풍전아파트 건너편,용산구,서울특별시 용산구 원효로4가 114-38,37.53237915,126.9525299,10
한강트럼프월드3차 앞,용산구,서울특별시 용산구 한강대로 26,37.52301788,126.96241,10
삼각지역 14번 출구 앞(교통섬),용산구,서울특별시 용산구 이태원로 6,37.53528595,126.974083,8
남산도서관 앞,용산구,서울특별시 용산구 소월로 109 남산도서관,37.55240631,126.9820175,12
한강중학교 앞 버스정류장,용산구,서울특별시 용산구 녹사평대로73,37.5251503,126.9920883,6
라인프랜즈이태원점 앞,용산구,서울특별시 용산구 이태원로 177 6호선 이태원역,37.53453064,126.9961929,10
